,type,gender,speaker,vowel,repetition,F0,F1,F2,F3,z0,z1,z2,z3,vowelChoice,vowelProb,typeChoice,typeProb
25,m,m,2,DRESS,2,135,510,1710,2380,1.197613365155131,5.005668016194331,11.961852861035425,14.172258064516129,DRESS,0.8385385111585902,m,0.8417747793195586
26,m,m,2,TRAP,1,128,690,1610,2560,1.1135249042145592,6.450716981132074,11.56078431372549,14.654424778761062,TRAP,0.9575484240231198,m,0.9617164105559856
27,m,m,2,TRAP,2,131,700,1690,2580,1.1496317551410808,6.525263157894736,11.883397260273973,14.705638766519824,TRAP,0.9722938180521732,m,0.9734761673366267
28,m,m,2,STRUT,1,140,650,1080,2420,1.2573333333333332,6.146819923371647,8.994605263157895,14.28283105022831,PALM,0.6119129647463012,m,0.9777129191264355
29,m,m,2,STRUT,2,125,625,1060,2490,1.0773141486810551,5.9521083172147,8.880132450331127,14.471550561797752,STRUT,0.42192760468424884,m,0.7627481326558565
30,m,m,2,PALM,1,140,650,1040,2450,1.2573333333333332,6.146819923371647,8.764133333333334,14.364444444444445,STRUT,0.7019337140477881,m,0.946059535392311
31,m,m,2,PALM,2,136,670,1100,2430,1.2095801526717556,6.299923954372623,9.107581699346406,14.310159453302962,STRUT,0.6498362601620236,m,0.9037734864736835
32,m,m,2,THOUGHT,1,149,580,580,2470,1.3641156946420103,5.591968503937007,5.591968503937007,14.41823927765237,THOUGHT,0.9997958483535978,m,0.9997130604812258
33,m,m,2,THOUGHT,2,140,560,560,2410,1.2573333333333332,5.427777777777777,5.427777777777777,14.255377574370709,THOUGHT,0.9998942555645581,m,0.999958281172228
34,m,m,2,FOOT,1,145,450,940,1910,1.3167695961995247,4.476016597510373,8.160137931034482,12.701808785529716,FOOT,0.9922843014261431,m,0.9970048032517898
35,m,m,2,FOOT,2,141,410,830,2240,1.2692432175154686,4.10801687763713,7.445734767025089,13.768666666666666,FOOT,0.9691424092700985,m,0.9926541414935489
36,m,m,2,GOOSE,1,140,280,650,3300,1.2573333333333332,2.82125,6.146819923371647,16.28996197718631,GOOSE,0.9999999957032786,m,0.9999848918941879
37,m,m,2,GOOSE,2,137,260,660,3300,1.2215355269432522,2.60990990990991,6.223664122137404,16.28996197718631,GOOSE,0.9999999995146143,m,0.9999938886352084
38,m,m,2,NURSE,1,145,510,1210,1570,1.3167695961995247,5.005668016194331,9.703470031545741,11.393994334277622,NURSE,0.9999999999999999,m,0.9970774777943283
39,m,m,2,NURSE,2,145,510,1130,1510,1.3167695961995247,5.005668016194331,9.27430420711974,11.136599423631123,NURSE,1.0,m,0.999901257235332
40,m,m,3,FLEECE,1,105,250,2180,2680,0.8332203389830506,2.502805429864253,13.587342995169083,14.955086206896551,FLEECE,0.9915576171743883,m,0.9999999994717916
41,m,m,3,FLEECE,2,111,244,2300,2780,0.906943505552873,2.4380762250453722,13.944882629107981,15.194008438818564,FLEECE,0.9994902101530236,m,0.9999997542920755
42,m,m,3,KIT,1,100,400,1930,2610,0.7714563106796115,4.014067796610169,12.771619537275065,14.781619256017505,KIT,0.9673625071655066,m,0.9996891383834263
43,m,m,3,KIT,2,104,400,1990,2700,0.8208914728682168,4.014067796610169,12.976810126582278,15.003690987124465,KIT,0.9910024954426184,m,0.997652546397669
44,m,m,3,DRESS,1,100,550,1810,2500,0.7714563106796115,5.344701195219123,12.341644562334219,14.498026905829596,TRAP,0.6412221858907541,m,0.9996645598234699
45,m,m,3,DRESS,2,95,540,1810,2480,0.7093917274939172,5.260959999999999,12.341644562334219,14.444954954954955,DRESS,0.7989707263137829,m,0.9992601781248133
46,m,m,3,TRAP,1,93,630,1710,2400,0.6844812469556747,5.991351351351351,11.961852861035425,14.227798165137616,TRAP,0.9518619516983644,m,0.9996757024606722
47,m,m,3,TRAP,2,94,658,1755,2305,0.6969425511197662,6.2083422459893045,12.135289367429339,13.959343493552169,TRAP,0.9929700036159784,m,0.9997882720906089
48,m,m,3,STRUT,1,100,600,1200,2320,0.7714563106796115,5.753593749999999,9.651012658227849,14.002523364485981,STRUT,0.9818671695991635,m,0.9998373180225512
49,m,m,3,STRUT,2,105,612,1160,2350,0.8332203389830506,5.849362363919128,9.437820512820513,14.087981438515083,STRUT,0.8914222461782845,m,0.9995849847281779
50,m,m,3,PALM,1,91,640,1080,2140,0.6595221843003412,6.069384615384615,8.994605263157895,13.463512195121952,STRUT,0.613697627024662,m,0.9993018794122814
51,m,m,3,PALM,2,94,720,1090,2230,0.6969425511197662,6.672686567164178,9.05127868852459,13.738806682577566,PALM,0.9238071302238409,m,0.9996262822902592
52,m,m,3,THOUGHT,1,92,550,870,2300,0.672007797270955,5.344701195219123,7.711943462897525,13.944882629107981,THOUGHT,0.9945090645861308,m,0.9981739062422205
53,m,m,3,THOUGHT,2,120,540,840,2280,1.0167307692307692,5.260959999999999,7.512999999999999,13.886698113207547,THOUGHT,0.9905408630615841,m,0.9986834832246738
54,m,m,3,FOOT,1,114,460,1150,2290,0.9436451301832209,4.566115702479338,9.383665594855305,13.915858823529412,FOOT,0.946283165551209,m,0.899362000652084
55,m,m,3,FOOT,2,114,456,1030,2300,0.9436451301832209,4.530165562913907,8.705551839464883,13.944882629107981,FOOT,0.9940107305135767,m,0.9908846765864745
56,m,m,3,GOOSE,1,112,340,950,2240,0.919189189189189,3.433217391304348,8.222405498281786,13.768666666666666,GOOSE,0.9784715561408512,m,0.9928849063867088
57,m,m,3,GOOSE,2,112,326,900,2190,0.919189189189189,3.2932983377077862,7.906713286713287,13.617927710843373,GOOSE,0.8469763421149573,m,0.9993331944300583
58,m,m,3,NURSE,1,100,500,1370,1780,0.7714563106796115,4.9191869918699185,10.49993993993994,12.229839572192514,NURSE,0.9999999956199126,m,0.9736004865376432
59,m,m,3,NURSE,2,106,530,1330,1800,0.8455372700871249,5.176546184738955,10.308085106382979,12.304574468085109,NURSE,0.9999999708108843,m,0.9444584268297984
60,m,m,4,FLEECE,1,150,300,2240,3400,1.3759241706161136,3.0288495575221237,13.768666666666666,16.47634328358209,FLEECE,0.9998884932446216,m,0.7556419259810343
61,m,m,4,FLEECE,2,156,280,2450,3200,1.446540642722117,2.82125,14.364444444444445,16.096356589147284,FLEECE,0.9999254892410497,m,0.7803489904652859
62,m,m,4,KIT,1,156,450,1960,2400,1.446540642722117,4.476016597510373,12.875,14.227798165137616,KIT,0.4861590666881323,m,0.905293977182433
63,m,m,4,KIT,2,146,440,2050,2360,1.3286229819563151,4.385166666666667,13.175860349127182,14.116203703703704,KIT,0.5050003737397913,m,0.9702257034824483
64,m,m,4,DRESS,1,130,570,1780,2410,1.1376076555023922,5.5101976284584975,12.229839572192514,14.255377574370709,DRESS,0.9046831594004114,m,0.9953970658919655
65,m,m,4,DRESS,2,150,555,1890,2440,1.3759241706161136,5.386322067594434,12.631272727272727,14.337363636363635,DRESS,0.920376269869902,m,0.9851539107041567
66,m,m,4,TRAP,1,125,750,1610,2340,1.0773141486810551,6.889741697416974,11.56078431372549,14.059627906976743,TRAP,0.9914231161638972,m,0.9911851413804139
67,m,m,4,TRAP,2,136,770,1580,2350,1.2095801526717556,7.0317948717948715,11.436045197740114,14.087981438515083,TRAP,0.9485531606282233,m,0.947666396577761
68,m,m,4,STRUT,1,132,660,1200,2330,1.161644359464627,6.223664122137404,9.651012658227849,14.031142191142191,PALM,0.5816397450553138,m,0.9986729178249608
69,m,m,4,STRUT,2,150,675,1140,2380,1.3759241706161136,6.337836812144212,9.329161290322581,14.172258064516129,PALM,0.48945377922394223,m,0.9243307815710038
70,m,m,4,PALM,1,125,750,1100,2550,1.0773141486810551,6.889741697416974,9.107581699346406,14.628647450110865,PALM,0.9285856613474073,m,0.7943509840966217
71,m,m,4,PALM,2,138,800,1120,2500,1.2334795042898,7.241014492753622,9.219090909090909,14.498026905829596,PALM,0.9609245802393809,m,0.9382910210617569
72,m,m,4,THOUGHT,1,143,540,850,2320,1.2930290061816452,5.260959999999999,7.579786476868327,14.002523364485981,THOUGHT,0.9912849419685951,m,0.992631184744863
73,m,m,4,THOUGHT,2,150,555,890,2370,1.3759241706161136,5.386322067594434,7.842245614035087,14.144295612009238,THOUGHT,0.9957634233282565,m,0.9813143633630543
74,m,m,4,FOOT,1,136,460,960,2210,1.2095801526717556,4.566115702479338,8.284246575342467,13.678657074340528,FOOT,0.9994857261958653,m,0.9996735983660606
75,m,m,4,FOOT,2,156,460,1000,2350,1.446540642722117,4.566115702479338,8.527432432432432,14.087981438515083,FOOT,0.9645681814712791,m,0.9619689132019552
76,m,m,4,GOOSE,1,140,380,950,2050,1.2573333333333332,3.8237606837606837,8.222405498281786,13.175860349127182,FOOT,0.7548457170037348,m,0.9999996669896536
77,m,m,4,GOOSE,2,148,385,850,2330,1.3522960151802654,3.871641791044776,7.579786476868327,14.031142191142191,FOOT,0.9774274606885717,m,0.9932442733910974
78,m,m,4,NURSE,1,150,590,1400,1840,1.3759241706161136,5.673098039215685,10.640833333333333,12.451684210526317,NURSE,0.9999651416807862,m,0.9357889511476754
79,m,m,4,NURSE,2,145,555,1430,1730,1.3167695961995247,5.386322067594434,10.779233038348082,12.039457994579946,NURSE,0.9999999999752875,m,0.8472568772018346
80,m,m,5,FLEECE,1,140,310,2310,2820,1.2573333333333332,3.131277533039648,13.973770491803277,15.286778242677824,FLEECE,0.9987772839049966,m,0.9999695727931476
81,m,m,5,FLEECE,2,131,260,2250,2850,1.1496317551410808,2.60990990990991,13.798384798099764,15.355343035343036,FLEECE,0.9999501155104189,m,0.9999860121046277
82,m,m,5,KIT,1,137,440,2060,2640,1.2215355269432522,4.385166666666667,13.208457711442787,14.856608695652174,KIT,0.590696079451567,m,0.9984885608207257
83,m,m,5,KIT,2,134,430,1880,2450,1.1856351480420246,4.293556485355648,12.595729166666665,14.364444444444445,KIT,0.9534122706272549,m,0.9960313171432299
84,m,m,5,DRESS,1,140,580,1910,2500,1.2573333333333332,5.591968503937007,12.701808785529716,14.498026905829596,DRESS,0.8808099525164418,m,0.9963715630047447
85,m,m,5,DRESS,2,137,550,1770,2400,1.2215355269432522,5.344701195219123,12.192171581769436,14.227798165137616,DRESS,0.9173241675462368,m,0.9798080479489989
86,m,m,5,TRAP,1,143,830,1720,2180,1.2930290061816452,7.445734767025089,12.000760869565216,13.587342995169083,TRAP,0.9953172825391966,m,0.9926237956254381
87,m,m,5,TRAP,2,135,750,1690,2320,1.197613365155131,6.889741697416974,11.883397260273973,14.002523364485981,TRAP,0.9971065674376555,m,0.9952905191588585
88,m,m,5,STRUT,1,136,630,1300,1950,1.2095801526717556,5.991351351351351,10.161104294478529,12.84071611253197,STRUT,0.7552658260983525,m,0.7752387718070103
89,m,m,5,STRUT,2,130,650,1170,2000,1.1376076555023922,6.146819923371647,9.491629392971245,13.01040404040404,STRUT,0.4815741150855882,m,0.9980560988685327
90,m,m,5,PALM,1,131,760,1220,2140,1.1496317551410808,6.961029411764705,9.755597484276729,13.463512195121952,PALM,0.9081516823618077,m,0.9999997827029081
91,m,m,5,PALM,2,126,720,1260,2020,1.089395973154362,6.672686567164178,9.960869565217392,13.077085427135678,PALM,0.792842349367231,m,0.9998216141708662
92,m,m,5,THOUGHT,1,136,540,970,1980,1.2095801526717556,5.260959999999999,8.345665529010239,12.943045685279186,THOUGHT,0.9610018474702066,m,0.9999810623755396
93,m,m,5,THOUGHT,2,124,550,880,1950,1.0652207293666027,5.344701195219123,7.777323943661972,12.84071611253197,THOUGHT,0.9766669699637054,m,0.9999966021651325
94,m,m,5,FOOT,1,133,470,1040,1990,1.1736454849498328,4.6554732510288055,8.764133333333334,12.976810126582278,FOOT,0.9625772395639987,m,0.9986445434545345
95,m,m,5,FOOT,2,132,490,990,1920,1.161644359464627,4.832,8.467254237288135,12.736804123711343,FOOT,0.9349922674472321,m,0.9918089619386159
96,m,m,5,GOOSE,1,141,380,950,2140,1.2692432175154686,3.8237606837606837,8.222405498281786,13.463512195121952,GOOSE,0.6770580361891322,m,0.9999686207615349
97,m,m,5,GOOSE,2,133,330,800,2130,1.1736454849498328,3.3334497816593887,7.241014492753622,13.432176039119804,GOOSE,0.9991777721799606,m,0.9999997155541905
98,m,m,5,NURSE,1,143,560,1510,1800,1.2930290061816452,5.427777777777777,11.136599423631123,12.304574468085109,NURSE,0.9999999925596593,m,0.9179896433014682
99,m,m,5,NURSE,2,136,510,1460,1700,1.2095801526717556,5.005668016194331,10.915204678362572,11.92273224043716,NURSE,0.9999999999989627,m,0.9096021675192113
100,m,m,6,FLEECE,1,125,312,2350,2800,1.0773141486810551,3.1516549295774645,14.087981438515083,15.240588235294117,FLEECE,0.9982113570924573,m,0.9999895081975031
101,m,m,6,FLEECE,2,119,330,2430,2870,1.0045791245791247,3.3334497816593887,14.310159453302962,15.400579710144926,FLEECE,0.9971975616250205,m,0.9962705984855535
102,m,m,6,KIT,1,133,420,2000,2660,1.1736454849498328,4.201176470588234,13.01040404040404,14.906060606060604,KIT,0.9098336095165517,m,0.9993092707737367
103,m,m,6,KIT,2,125,313,2000,2750,1.0773141486810551,3.161830180378354,13.01040404040404,15.123397027600848,KIT,0.6985631592615136,m,0.9999661111318975
104,m,m,6,DRESS,1,120,600,1860,2500,1.0167307692307692,5.753593749999999,12.524083769633508,14.498026905829596,DRESS,0.8259186053698492,m,0.9987503261202967
105,m,m,6,DRESS,2,114,570,1830,2570,0.9436451301832209,5.5101976284584975,12.415197889182057,14.680088300220751,DRESS,0.8446589648872987,m,0.9992679836933007
106,m,m,6,TRAP,1,119,676,1670,2540,1.0045791245791247,6.345402124430955,11.804077134986226,14.602755555555555,TRAP,0.9938372349387162,m,0.9950831230105827
107,m,m,6,TRAP,2,125,725,1687,2500,1.0773141486810551,6.709199255121042,11.8715547024952,14.498026905829596,TRAP,0.9898282315696769,m,0.9903872477877521
108,m,m,6,STRUT,1,118,680,1150,2560,0.9924157844080848,6.37560606060606,9.383665594855305,14.654424778761062,PALM,0.524059330465692,m,0.9763710555274504
109,m,m,6,STRUT,2,125,726,1270,2560,1.0773141486810551,6.716485480268056,10.01139318885449,14.654424778761062,STRUT,0.7067897798838462,m,0.8121070953938376
110,m,m,6,PALM,1,125,740,1100,2680,1.0773141486810551,6.817925925925925,9.107581699346406,14.955086206896551,PALM,0.9838381095057608,m,0.935981891797483
111,m,m,6,PALM,2,113,670,960,2650,0.9314230583695127,6.299923954372623,8.284246575342467,14.881388286334058,THOUGHT,0.9143818586841259,m,0.9510181634081599
112,m,m,6,THOUGHT,1,120,660,1030,2690,1.0167307692307692,6.223664122137404,8.705551839464883,14.979440860215053,THOUGHT,0.5008597676602199,m,0.9490916204944432
113,m,m,6,THOUGHT,2,125,720,960,2700,1.0773141486810551,6.672686567164178,8.284246575342467,15.003690987124465,PALM,0.5572003107616125,m,0.9008478088776524
114,m,m,6,FOOT,1,120,456,1080,2520,1.0167307692307692,4.530165562913907,8.994605263157895,14.550625,FOOT,0.9575042174954441,w,0.8152308804157608
115,m,m,6,FOOT,2,120,450,1140,2600,1.0167307692307692,4.476016597510373,9.329161290322581,14.75640350877193,FOOT,0.9566353752475514,w,0.9490706670632372
116,m,m,6,GOOSE,1,125,313,838,2340,1.0773141486810551,3.161830180378354,7.499585418155825,14.059627906976743,GOOSE,0.9610495266076047,m,0.9938569114358001
117,m,m,6,GOOSE,2,125,288,938,2450,1.0773141486810551,2.904733096085409,8.147632850241546,14.364444444444445,GOOSE,0.9141687408049334,w,0.9470814003210065
118,m,m,6,NURSE,1,120,503,1305,1775,1.0167307692307692,4.945205034510758,10.185788667687595,12.21103078982597,NURSE,0.9999999886880442,m,0.9836924294467838
119,m,m,6,NURSE,2,120,505,1320,1750,1.0167307692307692,4.962515212981744,10.25939024390244,12.116226415094339,NURSE,0.9999999984804232,m,0.9850648942319344
120,m,m,7,FLEECE,1,186,320,2320,3120,1.793699906803355,3.232807017543859,14.002523364485981,15.935984251968504,FLEECE,0.934443679375498,m,0.5222899442683079
121,m,m,7,FLEECE,2,172,310,2280,3020,1.6329080675422138,3.131277533039648,13.886698113207547,15.728273092369479,FLEECE,0.9269752184652926,m,0.5736047408689783
122,m,m,7,KIT,1,167,470,2000,2660,1.5749694405265633,4.6554732510288055,13.01040404040404,14.906060606060604,KIT,0.6645724602178896,m,0.9981953831055421
123,m,m,7,KIT,2,170,410,2040,2715,1.6097652582159625,4.10801687763713,13.143099999999999,15.039871657754011,KIT,0.9890504407257631,m,0.9532159613119585
124,m,m,7,DRESS,1,167,630,1900,2860,1.5749694405265633,5.991351351351351,12.666632124352331,15.378008298755185,DRESS,0.8648780011353263,w,0.7581574420159887
125,m,m,7,DRESS,2,146,614,1840,2770,1.3286229819563151,5.865236985236986,12.451684210526317,15.170570824524313,TRAP,0.5395047201650925,m,0.8144627093063705
126,m,m,7,TRAP,1,143,740,1800,2450,1.2930290061816452,6.817925925925925,12.304574468085109,14.364444444444445,TRAP,0.9974241781359244,m,0.9973080790186506
127,m,m,7,TRAP,2,162,775,1810,2200,1.5167577756833175,7.066983546617916,12.341644562334219,13.648365384615385,TRAP,0.9017366545429937,m,0.8996285987896372
128,m,m,7,STRUT,1,167,620,1240,2410,1.5749694405265633,5.912713178294573,9.858875000000001,14.255377574370709,STRUT,0.9913237504648752,m,0.9979761205582929
129,m,m,7,STRUT,2,160,640,1250,2400,1.4933962264150942,6.069384615384615,9.910031152647974,14.227798165137616,STRUT,0.978176613857633,m,0.9978162941272173
130,m,m,7,PALM,1,162,650,970,2580,1.5167577756833175,6.146819923371647,8.345665529010239,14.705638766519824,THOUGHT,0.6337818827911753,m,0.6423914123679577
131,m,m,7,PALM,2,163,650,980,2350,1.5284220442769663,6.146819923371647,8.406666666666666,14.087981438515083,STRUT,0.5301040272902825,m,0.9879451125209205
132,m,m,7,THOUGHT,1,145,430,720,2450,1.3167695961995247,4.293556485355648,6.672686567164178,14.364444444444445,THOUGHT,0.8972711675256336,m,0.98751565264845
133,m,m,7,THOUGHT,2,171,510,800,2500,1.6213420929141245,5.005668016194331,7.241014492753622,14.498026905829596,THOUGHT,0.9859364435446981,m,0.6557258659480093
134,m,m,7,FOOT,1,170,460,1120,2150,1.6097652582159625,4.566115702479338,9.219090909090909,13.494695863746959,FOOT,0.9982471793472286,m,0.9999894622971964
135,m,m,7,FOOT,2,170,493,1120,2300,1.6097652582159625,4.858230737871993,9.219090909090909,13.944882629107981,FOOT,0.9862624387151232,m,0.9778267875200137
136,m,m,7,GOOSE,1,175,380,1040,2260,1.6675409836065576,3.8237606837606837,8.764133333333334,13.827962085308057,FOOT,0.7529260236934161,m,0.9293368336385185
137,m,m,7,GOOSE,2,200,400,1000,2350,1.9524074074074071,4.014067796610169,8.527432432432432,14.087981438515083,FOOT,0.6439769968989265,m,0.5208513157479568
138,m,m,7,NURSE,1,167,570,1300,1750,1.5749694405265633,5.5101976284584975,10.161104294478529,12.116226415094339,NURSE,0.99999999790904,m,0.9455925912022948
139,m,m,7,NURSE,2,157,565,1370,1710,1.4582711384034008,5.469069306930693,10.49993993993994,11.961852861035425,NURSE,0.9999999999934349,m,0.841636681641444
140,m,m,8,FLEECE,1,105,230,2480,3200,0.8332203389830506,2.285662100456621,14.444954954954955,16.096356589147284,FLEECE,0.9999974418885003,m,0.9785872211071466
141,m,m,8,FLEECE,2,109,218,2380,3100,0.8824166263895601,2.153461891643709,14.172258064516129,15.895098814229248,FLEECE,0.9999843941773083,m,0.9981480604940013
142,m,m,8,KIT,1,110,320,2200,2680,0.8946859903381643,3.232807017543859,13.648365384615385,14.955086206896551,KIT,0.7979092415920994,m,0.9999770652765317
143,m,m,8,KIT,2,103,206,2130,2570,0.8085506543868153,2.019796860572484,13.432176039119804,14.680088300220751,FLEECE,0.985096008215427,m,0.9999999985330649
144,m,m,8,DRESS,1,107,430,2100,2630,0.8578422835026609,4.293556485355648,13.337241379310345,14.831721132897602,KIT,0.9895227299951918,m,0.9984468342509979
145,m,m,8,DRESS,2,105,515,1760,2470,0.8332203389830506,5.048646464646464,12.154301075268819,14.41823927765237,DRESS,0.978220352327493,m,0.9986750874210472
146,m,m,8,TRAP,1,107,514,2060,2600,0.8578422835026609,5.040064672594987,13.208457711442787,14.75640350877193,DRESS,0.6991634432425554,m,0.9992387837023701
147,m,m,8,TRAP,2,106,552,1820,2500,0.8455372700871249,5.361369426751592,12.37851851851852,14.498026905829596,DRESS,0.996755074098947,m,0.9995784927292215
148,m,m,8,STRUT,1,108,640,1300,2300,0.8701353965183751,6.069384615384615,10.161104294478529,13.944882629107981,STRUT,0.9344169457972396,m,0.9997760635128183
149,m,m,8,STRUT,2,104,624,1350,2410,0.8208914728682168,5.944241486068112,10.404592145015107,14.255377574370709,STRUT,0.9705559221578519,m,0.9973140955960829
150,m,m,8,PALM,1,111,714,1170,2420,0.906943505552873,6.628691099476439,9.491629392971245,14.28283105022831,PALM,0.6991179148031813,m,0.7421576571380232
151,m,m,8,PALM,2,97,650,1150,2350,0.7342537676227516,6.146819923371647,9.383665594855305,14.087981438515083,STRUT,0.9504320671345365,m,0.9991858594231761
152,m,m,8,THOUGHT,1,107,590,965,2500,0.8578422835026609,5.673098039215685,8.315008547008548,14.498026905829596,THOUGHT,0.5720448447773792,m,0.9356518425516613
153,m,m,8,THOUGHT,2,109,578,970,2460,0.8824166263895601,5.575665878644602,8.345665529010239,14.391402714932125,THOUGHT,0.7123515495740701,m,0.9242143054861791
154,m,m,8,FOOT,1,111,467,1110,2400,0.906943505552873,4.628743304491141,9.163517915309447,14.227798165137616,FOOT,0.9792095775810897,m,0.8973281594290045
155,m,m,8,FOOT,2,105,475,1220,2310,0.8332203389830506,4.6998767967145785,9.755597484276729,13.973770491803277,FOOT,0.9860754675217797,m,0.8203901873515829
156,m,m,8,GOOSE,1,107,270,910,2200,0.8578422835026609,2.716053811659193,7.970731707317072,13.648365384615385,GOOSE,0.998929190740143,m,0.9999418812185722
157,m,m,8,GOOSE,2,108,260,975,2320,0.8701353965183751,2.60990990990991,8.376218057921635,14.002523364485981,GOOSE,0.9999977879546635,m,0.9999959398485528
158,m,m,8,NURSE,1,107,460,1400,1790,0.8578422835026609,4.566115702479338,10.640833333333333,12.267306666666666,NURSE,0.9999999764502489,m,0.9296301086800058
159,m,m,8,NURSE,2,103,425,1410,1760,0.8085506543868153,4.247463312368972,10.687240356083088,12.154301075268819,NURSE,0.9999999959768319,m,0.8375812537418021
160,m,m,9,FLEECE,1,175,316,2200,2800,1.6675409836065576,3.192302284710017,13.648365384615385,15.240588235294117,FLEECE,0.9668973774549703,m,0.9999462220493436
161,m,m,9,FLEECE,2,175,280,2275,2775,1.6675409836065576,2.82125,13.872066115702479,15.182302006335798,FLEECE,0.9959841989051622,m,0.9999987084619049
162,m,m,9,KIT,1,167,450,1820,2475,1.5749694405265633,4.476016597510373,12.37851851851852,14.431612175873731,KIT,0.606978075109272,m,0.9906622442019467
163,m,m,9,KIT,2,167,434,1850,2425,1.5749694405265633,4.330292397660818,12.487979002624673,14.296510832383124,KIT,0.843801398805875,m,0.8947762661552481
164,m,m,9,DRESS,1,157,582,1725,2375,1.4582711384034008,5.6082454760031455,12.020135685210311,14.15829296424452,TRAP,0.7964941490017213,m,0.9961018057228865
165,m,m,9,DRESS,2,158,586,1800,2425,1.4699905571293672,5.640722702278083,12.304574468085109,14.296510832383124,DRESS,0.7327058337727222,m,0.9791245411061137
166,m,m,9,TRAP,1,150,600,1750,2375,1.3759241706161136,5.753593749999999,12.116226415094339,14.15829296424452,DRESS,0.51251214918684,m,0.9972554879549899
